epoch_idx,k,n_collected,decode_success,c,delta,trial,seed
0,9854,1,0,0.1,0.05,49,random
0,9854,2,0,0.1,0.05,49,random
0,9854,3,0,0.1,0.05,49,random
0,9854,4,0,0.1,0.05,49,random
0,9854,5,0,0.1,0.05,49,random
0,9854,6,0,0.1,0.05,49,random
0,9854,7,0,0.1,0.05,49,random
0,9854,8,0,0.1,0.05,49,random
0,9854,9,0,0.1,0.05,49,random
0,9854,10,0,0.1,0.05,49,random
0,9854,11,0,0.1,0.05,49,random
0,9854,12,0,0.1,0.05,49,random
0,9854,13,0,0.1,0.05,49,random
0,9854,14,0,0.1,0.05,49,random
0,9854,15,0,0.1,0.05,49,random
0,9854,16,0,0.1,0.05,49,random
0,9854,17,0,0.1,0.05,49,random
0,9854,18,0,0.1,0.05,49,random
0,9854,19,0,0.1,0.05,49,random
0,9854,20,0,0.1,0.05,49,random
0,9854,21,0,0.1,0.05,49,random
0,9854,22,0,0.1,0.05,49,random
0,9854,23,0,0.1,0.05,49,random
0,9854,24,0,0.1,0.05,49,random
0,9854,25,0,0.1,0.05,49,random
0,9854,26,0,0.1,0.05,49,random
0,9854,27,0,0.1,0.05,49,random
0,9854,28,0,0.1,0.05,49,random
0,9854,29,0,0.1,0.05,49,random
0,9854,30,0,0.1,0.05,49,random
0,9854,31,0,0.1,0.05,49,random
0,9854,32,0,0.1,0.05,49,random
0,9854,33,0,0.1,0.05,49,random
0,9854,34,0,0.1,0.05,49,random
0,9854,35,0,0.1,0.05,49,random
0,9854,36,0,0.1,0.05,49,random
0,9854,37,0,0.1,0.05,49,random
0,9854,38,0,0.1,0.05,49,random
0,9854,39,0,0.1,0.05,49,random
0,9854,40,0,0.1,0.05,49,random
0,9854,41,0,0.1,0.05,49,random
0,9854,42,0,0.1,0.05,49,random
0,9854,43,0,0.1,0.05,49,random
0,9854,44,0,0.1,0.05,49,random
0,9854,45,0,0.1,0.05,49,random
0,9854,46,0,0.1,0.05,49,random
0,9854,47,0,0.1,0.05,49,random
0,9854,48,0,0.1,0.05,49,random
0,9854,49,0,0.1,0.05,49,random
0,9854,50,0,0.1,0.05,49,random
0,9854,51,0,0.1,0.05,49,random
0,9854,52,0,0.1,0.05,49,random
0,9854,53,0,0.1,0.05,49,random
0,9854,54,0,0.1,0.05,49,random
0,9854,55,0,0.1,0.05,49,random
0,9854,56,0,0.1,0.05,49,random
0,9854,57,0,0.1,0.05,49,random
0,9854,58,0,0.1,0.05,49,random
0,9854,59,0,0.1,0.05,49,random
0,9854,60,0,0.1,0.05,49,random
0,9854,61,0,0.1,0.05,49,random
0,9854,62,0,0.1,0.05,49,random
0,9854,63,0,0.1,0.05,49,random
0,9854,64,0,0.1,0.05,49,random
0,9854,65,0,0.1,0.05,49,random
0,9854,66,0,0.1,0.05,49,random
0,9854,67,0,0.1,0.05,49,random
0,9854,68,0,0.1,0.05,49,random
0,9854,69,0,0.1,0.05,49,random
0,9854,70,0,0.1,0.05,49,random
0,9854,71,0,0.1,0.05,49,random
0,9854,72,0,0.1,0.05,49,random
0,9854,73,0,0.1,0.05,49,random
0,9854,74,0,0.1,0.05,49,random
0,9854,75,0,0.1,0.05,49,random
0,9854,76,0,0.1,0.05,49,random
0,9854,77,0,0.1,0.05,49,random
0,9854,78,0,0.1,0.05,49,random
0,9854,79,0,0.1,0.05,49,random
0,9854,80,0,0.1,0.05,49,random
0,9854,81,0,0.1,0.05,49,random
0,9854,82,0,0.1,0.05,49,random
0,9854,83,0,0.1,0.05,49,random
0,9854,84,0,0.1,0.05,49,random
0,9854,85,0,0.1,0.05,49,random
0,9854,86,0,0.1,0.05,49,random
0,9854,87,0,0.1,0.05,49,random
0,9854,88,0,0.1,0.05,49,random
0,9854,89,0,0.1,0.05,49,random
0,9854,90,0,0.1,0.05,49,random
0,9854,91,0,0.1,0.05,49,random
0,9854,92,0,0.1,0.05,49,random
